iter	Passed	Remaining
0	17	17974
1	38	19351
2	61	20319
3	83	20895
4	107	21351
5	125	20751
6	149	21171
7	167	20751
8	187	20690
9	205	20388
10	222	19992
11	240	19839
12	259	19690
13	278	19628
14	297	19531
15	310	19125
16	328	19012
17	349	19077
18	372	19252
19	395	19399
20	415	19367
21	433	19264
22	450	19157
23	469	19090
24	488	19039
25	505	18939
26	523	18860
27	541	18793
28	563	18876
29	584	18890
30	602	18835
31	619	18752
32	638	18701
33	656	18645
34	676	18642
35	694	18604
36	711	18523
37	729	18476
38	747	18418
39	764	18355
40	784	18348
41	803	18317
42	826	18395
43	842	18306
44	858	18217
45	875	18158
46	893	18109
47	918	18221
48	947	18398
49	976	18554
50	1000	18610
51	1030	18779
52	1064	19020
53	1096	19204
54	1128	19393
55	1147	19339
56	1163	19256
57	1186	19266
58	1203	19189
59	1222	19147
60	1240	19088
61	1257	19027
62	1278	19008
63	1296	18966
64	1314	18903
65	1331	18837
66	1350	18812
67	1368	18761
68	1387	18716
69	1404	18665
70	1422	18610
71	1439	18551
72	1457	18510
73	1472	18431
74	1491	18391
75	1509	18347
76	1528	18322
77	1546	18274
78	1569	18300
79	1595	18350
80	1613	18303
81	1630	18250
82	1648	18212
83	1666	18168
84	1682	18109
85	1703	18109
86	1720	18059
87	1739	18031
88	1756	17981
89	1774	17940
90	1791	17899
91	1808	17853
92	1826	17815
93	1846	17796
94	1863	17751
95	1880	17708
96	1899	17685
97	1917	17653
98	1933	17593
99	1957	17613
100	1974	17574
101	1992	17540
102	2009	17503
103	2027	17465
104	2045	17437
105	2064	17411
106	2082	17377
107	2099	17343
108	2117	17309
109	2135	17280
110	2154	17256
111	2174	17236
112	2194	17227
113	2217	17233
114	2234	17195
115	2252	17163
116	2270	17133
117	2293	17139
118	2310	17103
119	2328	17074
120	2345	17035
121	2362	17001
122	2379	16969
123	2397	16937
124	2416	16915
125	2433	16883
126	2451	16853
127	2468	16814
128	2486	16791
129	2504	16758
130	2522	16733
131	2539	16702
132	2557	16674
133	2575	16645
134	2593	16614
135	2611	16591
136	2629	16562
137	2646	16529
138	2663	16500
139	2681	16472
140	2699	16444
141	2718	16425
142	2736	16400
143	2754	16371
144	2771	16339
145	2788	16312
146	2806	16282
147	2824	16258
148	2843	16241
149	2859	16202
150	2877	16176
151	2897	16165
152	2917	16150
153	2934	16122
154	2952	16095
155	2969	16068
156	2991	16061
157	3010	16045
158	3028	16020
159	3048	16005
160	3072	16008
161	3090	15989
162	3112	15981
163	3133	15971
164	3153	15958
165	3179	15974
166	3203	15981
167	3224	15967
168	3249	15975
169	3269	15960
170	3296	15982
171	3313	15952
172	3331	15927
173	3349	15900
174	3368	15878
175	3385	15851
176	3409	15851
177	3428	15833
178	3449	15823
179	3475	15833
180	3502	15848
181	3526	15851
182	3552	15858
183	3579	15874
184	3598	15854
185	3626	15872
186	3651	15877
187	3673	15865
188	3701	15882
189	3724	15877
190	3758	15917
191	3785	15931
192	3811	15939
193	3844	15972
194	3870	15979
195	3902	16010
196	3928	16015
197	3959	16039
198	3986	16047
199	4013	16053
200	4034	16037
201	4057	16029
202	4078	16012
203	4096	15983
204	4115	15959
205	4133	15932
206	4153	15911
207	4172	15886
208	4191	15864
209	4209	15837
210	4227	15807
211	4247	15789
212	4268	15771
213	4286	15743
214	4307	15726
215	4325	15699
216	4343	15671
217	4360	15642
218	4383	15631
219	4402	15608
220	4419	15577
221	4436	15549
222	4455	15524
223	4482	15528
224	4506	15521
225	4529	15511
226	4553	15505
227	4575	15492
228	4598	15481
229	4624	15481
230	4643	15459
231	4665	15442
232	4686	15426
233	4709	15415
234	4731	15403
235	4753	15387
236	4774	15371
237	4791	15342
238	4809	15314
239	4827	15286
240	4844	15257
241	4860	15223
242	4879	15200
243	4897	15173
244	4914	15144
245	4931	15116
246	4950	15091
247	4967	15063
248	4984	15033
249	5001	15005
250	5019	14979
251	5038	14954
252	5056	14930
253	5073	14900
254	5091	14876
255	5110	14851
256	5127	14822
257	5146	14802
258	5170	14792
259	5193	14781
260	5214	14763
261	5237	14753
262	5259	14739
263	5285	14735
264	5310	14729
265	5335	14723
266	5356	14706
267	5378	14689
268	5403	14684
269	5425	14669
270	5446	14651
271	5470	14641
272	5500	14647
273	5521	14629
274	5544	14616
275	5564	14597
276	5582	14571
277	5606	14560
278	5629	14548
279	5650	14530
280	5672	14513
281	5692	14493
282	5709	14466
283	5729	14445
284	5752	14432
285	5779	14427
286	5803	14417
287	5824	14398
288	5842	14373
289	5862	14353
290	5883	14334
291	5901	14310
292	5919	14284
293	5944	14275
294	5966	14259
295	5984	14233
296	6002	14207
297	6019	14179
298	6038	14156
299	6056	14132
300	6082	14125
301	6100	14099
302	6117	14072
303	6136	14049
304	6154	14024
305	6171	13997
306	6193	13980
307	6212	13956
308	6234	13940
309	6258	13929
310	6276	13905
311	6293	13878
312	6313	13858
313	6333	13836
314	6350	13810
315	6369	13786
316	6387	13763
317	6406	13738
318	6423	13713
319	6441	13688
320	6459	13663
321	6479	13643
322	6497	13618
323	6515	13594
324	6535	13573
325	6553	13549
326	6571	13524
327	6588	13498
328	6613	13487
329	6630	13462
330	6650	13441
331	6669	13419
332	6687	13395
333	6707	13374
334	6724	13348
335	6742	13324
336	6760	13300
337	6782	13283
338	6800	13259
339	6818	13236
340	6840	13219
341	6862	13203
342	6881	13181
343	6899	13157
344	6917	13133
345	6934	13107
346	6953	13085
347	6970	13060
348	6988	13035
349	7006	13011
350	7023	12986
351	7041	12961
352	7057	12936
353	7078	12916
354	7104	12907
355	7122	12885
356	7140	12861
357	7158	12837
358	7176	12813
359	7198	12796
360	7216	12773
361	7233	12748
362	7251	12724
363	7269	12702
364	7288	12679
365	7306	12656
366	7326	12637
367	7349	12621
368	7366	12597
369	7384	12574
370	7403	12551
371	7422	12530
372	7440	12507
373	7458	12484
374	7476	12461
375	7494	12437
376	7511	12412
377	7529	12389
378	7547	12367
379	7566	12344
380	7584	12322
381	7605	12304
382	7623	12280
383	7641	12257
384	7657	12232
385	7675	12209
386	7694	12187
387	7717	12172
388	7735	12150
389	7754	12129
390	7772	12105
391	7789	12081
392	7807	12058
393	7824	12034
394	7841	12009
395	7860	11988
396	7879	11968
397	7897	11945
398	7916	11925
399	7940	11910
400	7957	11887
401	7979	11870
402	7997	11847
403	8016	11825
404	8032	11801
405	8052	11780
406	8070	11758
407	8090	11738
408	8110	11719
409	8128	11697
410	8146	11674
411	8163	11651
412	8187	11637
413	8207	11617
414	8225	11594
415	8242	11571
416	8260	11549
417	8279	11527
418	8296	11504
419	8315	11482
420	8334	11461
421	8354	11442
422	8372	11420
423	8390	11398
424	8408	11375
425	8430	11358
426	8447	11335
427	8464	11312
428	8481	11289
429	8500	11268
430	8518	11245
431	8536	11223
432	8553	11200
433	8570	11177
434	8588	11155
435	8608	11135
436	8624	11111
437	8643	11090
438	8661	11069
439	8679	11046
440	8697	11024
441	8715	11003
442	8734	10981
443	8751	10959
444	8769	10937
445	8787	10915
446	8804	10892
447	8828	10877
448	8846	10855
449	8865	10835
450	8883	10813
451	8904	10795
452	8923	10775
453	8942	10754
454	8960	10732
455	8978	10711
456	8998	10691
457	9016	10669
458	9034	10648
459	9052	10626
460	9069	10604
461	9086	10581
462	9103	10558
463	9122	10538
464	9140	10516
465	9159	10495
466	9176	10472
467	9194	10452
468	9213	10431
469	9236	10415
470	9253	10392
471	9272	10372
472	9289	10350
473	9308	10329
474	9327	10309
475	9346	10288
476	9365	10268
477	9383	10246
478	9406	10231
479	9424	10210
480	9442	10188
481	9461	10167
482	9478	10145
483	9495	10123
484	9514	10102
485	9531	10080
486	9549	10059
